Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
FB1,500m,R_0805_2012Metric,440.75,-119.75,180,bottom
J1,AVR-ISP-6,PinHeader_2x03_P2.54mm_Vertical,494.225,-110.475,-90,bottom
J2,USB_C_Receptacle_USB2.0,USB_C_Receptacle_HRO_TYPE-C-31-M-12,446.245,-108.48,0,bottom
R1,10k,R_0603_1608Metric,489.25,-117.75,180,bottom
R2,22,R_0603_1608Metric,476.75,-114.25,-90,bottom
R3,10k,R_0603_1608Metric,475.5,-132.75,-90,bottom
R4,22,R_0603_1608Metric,478.25,-114.25,-90,bottom
R5,5k1,R_0603_1608Metric,453.25,-110.5,90,bottom
R6,5k1,R_0603_1608Metric,439.25,-110.5725,90,bottom
SW999,SW_Push,SW_SPST_SKQG_WithStem,500.5,-125.5,90,bottom
U1,ATmega32U4-AU,TQFP-44_10x10mm_P0.8mm,479.5,-123.75,180,bottom
U2,USBLC6-2SC6,SOT-23-6,446.75,-116.6975,90,bottom
U3,SK6812MINI,SK6812-MINI-E,423.849672,-124.107352,0,bottom
U4,SK6812MINI,SK6812-MINI-E,404.821672,-124.105352,0,bottom
U5,SK6812MINI,SK6812-MINI-E,385.749672,-124.107352,0,bottom
U6,SK6812MINI,SK6812-MINI-E,361.949872,-124.122552,0,bottom
U7,SK6812MINI,SK6812-MINI-E,342.899872,-124.122552,0,bottom
U8,SK6812MINI,SK6812-MINI-E,323.849872,-124.122552,0,bottom
U9,SK6812MINI,SK6812-MINI-E,304.799872,-124.122552,0,bottom
U10,SK6812MINI,SK6812-MINI-E,276.224872,-124.122552,0,bottom
U11,SK6812MINI,SK6812-MINI-E,257.174872,-124.122552,0,bottom
U12,SK6812MINI,SK6812-MINI-E,238.124872,-124.122552,0,bottom
U13,SK6812MINI,SK6812-MINI-E,219.074872,-124.122552,0,bottom
U14,SK6812MINI,SK6812-MINI-E,190.499872,-124.122552,0,bottom
U15,SK6812MINI,SK6812-MINI-E,171.449872,-124.122552,0,bottom
U16,SK6812MINI,SK6812-MINI-E,152.399872,-124.122552,0,bottom
U17,SK6812MINI,SK6812-MINI-E,133.349888,-124.122552,0,bottom
U18,SK6812MINI,SK6812-MINI-E,95.24992,-124.122552,0,bottom
U19,SK6812MINI,SK6812-MINI-E,95.250576,-152.697528,180,bottom
U20,SK6812MINI,SK6812-MINI-E,114.300576,-152.697528,180,bottom
U21,SK6812MINI,SK6812-MINI-E,133.350576,-152.697528,180,bottom
U22,SK6812MINI,SK6812-MINI-E,152.400576,-152.697528,180,bottom
U23,SK6812MINI,SK6812-MINI-E,171.450576,-152.697528,180,bottom
U24,SK6812MINI,SK6812-MINI-E,190.500576,-152.697528,180,bottom
U25,SK6812MINI,SK6812-MINI-E,209.550576,-152.697528,180,bottom
U26,SK6812MINI,SK6812-MINI-E,228.600576,-152.697528,180,bottom
U27,SK6812MINI,SK6812-MINI-E,247.650576,-152.697528,180,bottom
U28,SK6812MINI,SK6812-MINI-E,266.700576,-152.697528,180,bottom
U29,SK6812MINI,SK6812-MINI-E,285.750576,-152.697528,180,bottom
U30,SK6812MINI,SK6812-MINI-E,304.800576,-152.697528,180,bottom
U31,SK6812MINI,SK6812-MINI-E,323.850576,-152.697528,180,bottom
U32,SK6812MINI,SK6812-MINI-E,352.425576,-152.697528,180,bottom
U33,SK6812MINI,SK6812-MINI-E,385.762576,-152.697528,180,bottom
U34,SK6812MINI,SK6812-MINI-E,404.812576,-152.697528,180,bottom
U35,SK6812MINI,SK6812-MINI-E,423.862576,-152.697528,180,bottom
U36,SK6812MINI,SK6812-MINI-E,447.674576,-152.697528,180,bottom
U37,SK6812MINI,SK6812-MINI-E,466.724576,-152.697528,180,bottom
U38,SK6812MINI,SK6812-MINI-E,485.774576,-152.697528,180,bottom
U39,SK6812MINI,SK6812-MINI-E,504.824576,-152.697528,180,bottom
U40,SK6812MINI,SK6812-MINI-E,504.7392,-182.2502,0,bottom
U41,SK6812MINI,SK6812-MINI-E,485.774592,-171.747512,0,bottom
U42,SK6812MINI,SK6812-MINI-E,466.724592,-171.747512,0,bottom
U43,SK6812MINI,SK6812-MINI-E,447.674592,-171.747512,0,bottom
U44,SK6812MINI,SK6812-MINI-E,423.862592,-171.747512,0,bottom
U45,SK6812MINI,SK6812-MINI-E,404.812592,-171.747512,0,bottom
U46,SK6812MINI,SK6812-MINI-E,385.762592,-171.747512,0,bottom
U47,SK6812MINI,SK6812-MINI-E,333.37472,-171.747512,0,bottom
U48,SK6812MINI,SK6812-MINI-E,314.32472,-171.747512,0,bottom
U49,SK6812MINI,SK6812-MINI-E,295.27472,-171.747512,0,bottom
U50,SK6812MINI,SK6812-MINI-E,276.22472,-171.747512,0,bottom
U51,SK6812MINI,SK6812-MINI-E,257.17472,-171.747512,0,bottom
U52,SK6812MINI,SK6812-MINI-E,238.12472,-171.747512,0,bottom
U53,SK6812MINI,SK6812-MINI-E,219.07472,-171.747512,0,bottom
U54,SK6812MINI,SK6812-MINI-E,200.02472,-171.747512,0,bottom
U55,SK6812MINI,SK6812-MINI-E,180.97472,-171.747512,0,bottom
U56,SK6812MINI,SK6812-MINI-E,161.92472,-171.747512,0,bottom
U57,SK6812MINI,SK6812-MINI-E,142.87472,-171.747512,0,bottom
U58,SK6812MINI,SK6812-MINI-E,123.82472,-171.747512,0,bottom
U59,SK6812MINI,SK6812-MINI-E,100.01272,-171.747512,0,bottom
U60,SK6812MINI,SK6812-MINI-E,102.393216,-190.797496,180,bottom
U61,SK6812MINI,SK6812-MINI-E,128.587216,-190.797496,180,bottom
U62,SK6812MINI,SK6812-MINI-E,147.637216,-190.797496,180,bottom
U63,SK6812MINI,SK6812-MINI-E,166.687216,-190.797496,180,bottom
U64,SK6812MINI,SK6812-MINI-E,185.737216,-190.797496,180,bottom
U65,SK6812MINI,SK6812-MINI-E,204.787216,-190.797496,180,bottom
U66,SK6812MINI,SK6812-MINI-E,223.837216,-190.797496,180,bottom
U67,SK6812MINI,SK6812-MINI-E,242.887216,-190.797496,180,bottom
U68,SK6812MINI,SK6812-MINI-E,261.937216,-190.797496,180,bottom
U69,SK6812MINI,SK6812-MINI-E,280.987216,-190.797496,180,bottom
U70,SK6812MINI,SK6812-MINI-E,300.037216,-190.797496,180,bottom
U71,SK6812MINI,SK6812-MINI-E,319.087216,-190.797496,180,bottom
U72,SK6812MINI,SK6812-MINI-E,338.137216,-190.797496,180,bottom
U73,SK6812MINI,SK6812-MINI-E,359.568448,-181.272504,180,bottom
U74,SK6812MINI,SK6812-MINI-E,447.674624,-190.797496,180,bottom
U75,SK6812MINI,SK6812-MINI-E,466.724608,-190.797496,180,bottom
U76,SK6812MINI,SK6812-MINI-E,485.774592,-190.797496,180,bottom
U77,SK6812MINI,SK6812-MINI-E,504.824576,-219.372472,0,bottom
U78,SK6812MINI,SK6812-MINI-E,485.774592,-209.84748,0,bottom
U79,SK6812MINI,SK6812-MINI-E,466.724592,-209.84748,0,bottom
U80,SK6812MINI,SK6812-MINI-E,447.674592,-209.84748,0,bottom
U81,SK6812MINI,SK6812-MINI-E,404.812592,-209.84748,0,bottom
U82,SK6812MINI,SK6812-MINI-E,345.281592,-209.84748,0,bottom
U83,SK6812MINI,SK6812-MINI-E,309.562592,-209.84748,0,bottom
U84,SK6812MINI,SK6812-MINI-E,290.512592,-209.84748,0,bottom
U85,SK6812MINI,SK6812-MINI-E,271.462592,-209.84748,0,bottom
U86,SK6812MINI,SK6812-MINI-E,252.412592,-209.84748,0,bottom
U87,SK6812MINI,SK6812-MINI-E,233.362592,-209.84748,0,bottom
U88,SK6812MINI,SK6812-MINI-E,214.312592,-209.84748,0,bottom
U89,SK6812MINI,SK6812-MINI-E,195.262592,-209.84748,0,bottom
U90,SK6812MINI,SK6812-MINI-E,176.212592,-209.84748,0,bottom
U91,SK6812MINI,SK6812-MINI-E,157.162592,-209.84748,0,bottom
U92,SK6812MINI,SK6812-MINI-E,138.112592,-209.84748,0,bottom
U93,SK6812MINI,SK6812-MINI-E,119.062592,-209.84748,0,bottom
U94,SK6812MINI,SK6812-MINI-E,97.631592,-209.84748,0,bottom
U95,SK6812MINI,SK6812-MINI-E,95.252592,-228.897464,180,bottom
U96,SK6812MINI,SK6812-MINI-E,116.683592,-228.897464,180,bottom
U97,SK6812MINI,SK6812-MINI-E,140.495592,-228.897464,180,bottom
U98,SK6812MINI,SK6812-MINI-E,164.307592,-228.897464,180,bottom
U99,SK6812MINI,SK6812-MINI-E,233.363592,-228.897464,180,bottom
U100,SK6812MINI,SK6812-MINI-E,300.038592,-228.897464,180,bottom
U101,SK6812MINI,SK6812-MINI-E,321.469592,-228.897464,180,bottom
U102,SK6812MINI,SK6812-MINI-E,342.900592,-228.897464,180,bottom
U103,SK6812MINI,SK6812-MINI-E,361.950592,-228.897464,180,bottom
U104,SK6812MINI,SK6812-MINI-E,385.762592,-228.897464,180,bottom
U105,SK6812MINI,SK6812-MINI-E,404.812592,-228.897464,180,bottom
U106,SK6812MINI,SK6812-MINI-E,423.862592,-228.897464,180,bottom
U107,SK6812MINI,SK6812-MINI-E,457.199592,-228.897464,180,bottom
U108,SK6812MINI,SK6812-MINI-E,485.774592,-228.897464,180,bottom
Y1,16MHz,Crystal_SMD_3225-4Pin_3.2x2.5mm,493.25,-123.25,-90,bottom
SW1,SW_Push,Kailh_socket_MX,95.25,-119.0625,0,bottom
SW2,SW_Push,Kailh_socket_MX,133.35,-119.0625,0,bottom
SW3,SW_Push,Kailh_socket_MX,152.4,-119.0625,0,bottom
SW4,SW_Push,Kailh_socket_MX,171.45,-119.0625,0,bottom
SW5,SW_Push,Kailh_socket_MX,190.5,-119.0625,0,bottom
SW6,SW_Push,Kailh_socket_MX,219.075,-119.0625,0,bottom
SW7,SW_Push,Kailh_socket_MX,238.125,-119.0625,0,bottom
SW8,SW_Push,Kailh_socket_MX,257.175,-119.0625,0,bottom
SW9,SW_Push,Kailh_socket_MX,276.225,-119.0625,0,bottom
SW10,SW_Push,Kailh_socket_MX,304.8,-119.0625,0,bottom
SW11,SW_Push,Kailh_socket_MX,323.85,-119.0625,0,bottom
SW12,SW_Push,Kailh_socket_MX,342.9,-119.0625,0,bottom
SW13,SW_Push,Kailh_socket_MX,361.95,-119.0625,0,bottom
SW14,SW_Push,Kailh_socket_MX,385.7625,-119.0625,0,bottom
SW15,SW_Push,Kailh_socket_MX,404.8125,-119.0625,0,bottom
SW16,SW_Push,Kailh_socket_MX,423.8625,-119.0625,0,bottom
SW17,SW_Push,Kailh_socket_MX,95.25,-147.6375,0,bottom
SW18,SW_Push,Kailh_socket_MX,114.3,-147.6375,0,bottom
SW19,SW_Push,Kailh_socket_MX,133.35,-147.6375,0,bottom
SW20,SW_Push,Kailh_socket_MX,152.4,-147.6375,0,bottom
SW21,SW_Push,Kailh_socket_MX,171.45,-147.6375,0,bottom
SW22,SW_Push,Kailh_socket_MX,190.5,-147.6375,0,bottom
SW23,SW_Push,Kailh_socket_MX,209.55,-147.6375,0,bottom
SW24,SW_Push,Kailh_socket_MX,228.6,-147.6375,0,bottom
SW25,SW_Push,Kailh_socket_MX,247.65,-147.6375,0,bottom
SW26,SW_Push,Kailh_socket_MX,266.7,-147.6375,0,bottom
SW27,SW_Push,Kailh_socket_MX,285.75,-147.6375,0,bottom
SW28,SW_Push,Kailh_socket_MX,304.8,-147.6375,0,bottom
SW29,SW_Push,Kailh_socket_MX,323.85,-147.6375,0,bottom
SW30,SW_Push,Kailh_socket_MX,352.425,-147.6375,0,bottom
SW31,SW_Push,Kailh_socket_MX,385.7625,-147.6375,0,bottom
SW32,SW_Push,Kailh_socket_MX,404.8125,-147.6375,0,bottom
SW33,SW_Push,Kailh_socket_MX,423.8625,-147.6375,0,bottom
SW34,SW_Push,Kailh_socket_MX,447.675,-147.6375,0,bottom
SW35,SW_Push,Kailh_socket_MX,466.725,-147.6375,0,bottom
SW36,SW_Push,Kailh_socket_MX,485.775,-147.6375,0,bottom
SW37,SW_Push,Kailh_socket_MX,504.825,-147.6375,0,bottom
SW38,SW_Push,Kailh_socket_MX,100.0125,-166.6875,0,bottom
SW39,SW_Push,Kailh_socket_MX,123.825,-166.6875,0,bottom
SW40,SW_Push,Kailh_socket_MX,142.875,-166.6875,0,bottom
SW41,SW_Push,Kailh_socket_MX,161.925,-166.6875,0,bottom
SW42,SW_Push,Kailh_socket_MX,180.975,-166.6875,0,bottom
SW43,SW_Push,Kailh_socket_MX,200.025,-166.6875,0,bottom
SW44,SW_Push,Kailh_socket_MX,219.075,-166.6875,0,bottom
SW45,SW_Push,Kailh_socket_MX,238.125,-166.6875,0,bottom
SW46,SW_Push,Kailh_socket_MX,257.175,-166.6875,0,bottom
SW47,SW_Push,Kailh_socket_MX,276.225,-166.6875,0,bottom
SW48,SW_Push,Kailh_socket_MX,295.275,-166.6875,0,bottom
SW49,SW_Push,Kailh_socket_MX,314.325,-166.6875,0,bottom
SW50,SW_Push,Kailh_socket_MX,333.375,-166.6875,0,bottom
SW51,SW_Push,Kailh_socket_MX,359.56875,-176.2125,0,bottom
SW52,SW_Push,Kailh_socket_MX,385.7625,-166.6875,0,bottom
SW53,SW_Push,Kailh_socket_MX,404.8125,-166.6875,0,bottom
SW54,SW_Push,Kailh_socket_MX,423.8625,-166.6875,0,bottom
SW55,SW_Push,Kailh_socket_MX,447.675,-166.6875,0,bottom
SW56,SW_Push,Kailh_socket_MX,466.725,-166.6875,0,bottom
SW57,SW_Push,Kailh_socket_MX,485.775,-166.6875,0,bottom
SW58,SW_Push,Kailh_socket_MX,504.825,-176.2125,0,bottom
SW59,SW_Push,Kailh_socket_MX,102.39375,-185.7375,0,bottom
SW60,SW_Push,Kailh_socket_MX,128.5875,-185.7375,0,bottom
SW61,SW_Push,Kailh_socket_MX,147.6375,-185.7375,0,bottom
SW62,SW_Push,Kailh_socket_MX,166.6875,-185.7375,0,bottom
SW63,SW_Push,Kailh_socket_MX,185.7375,-185.7375,0,bottom
SW64,SW_Push,Kailh_socket_MX,204.7875,-185.7375,0,bottom
SW65,SW_Push,Kailh_socket_MX,223.8375,-185.7375,0,bottom
SW66,SW_Push,Kailh_socket_MX,242.8875,-185.7375,0,bottom
SW67,SW_Push,Kailh_socket_MX,261.9375,-185.7375,0,bottom
SW68,SW_Push,Kailh_socket_MX,280.9875,-185.7375,0,bottom
SW69,SW_Push,Kailh_socket_MX,300.0375,-185.7375,0,bottom
SW70,SW_Push,Kailh_socket_MX,319.0875,-185.7375,0,bottom
SW71,SW_Push,Kailh_socket_MX,338.1375,-185.7375,0,bottom
SW72,SW_Push,Kailh_socket_MX,447.675,-185.7375,0,bottom
SW73,SW_Push,Kailh_socket_MX,466.725,-185.7375,0,bottom
SW74,SW_Push,Kailh_socket_MX,485.775,-185.7375,0,bottom
SW75,SW_Push,Kailh_socket_MX,97.63125,-204.7875,0,bottom
SW76,SW_Push,Kailh_socket_MX,119.0625,-204.7875,0,bottom
SW77,SW_Push,Kailh_socket_MX,138.1125,-204.7875,0,bottom
SW78,SW_Push,Kailh_socket_MX,157.1625,-204.7875,0,bottom
SW79,SW_Push,Kailh_socket_MX,176.2125,-204.7875,0,bottom
SW80,SW_Push,Kailh_socket_MX,195.2625,-204.7875,0,bottom
SW81,SW_Push,Kailh_socket_MX,214.3125,-204.7875,0,bottom
SW82,SW_Push,Kailh_socket_MX,233.3625,-204.7875,0,bottom
SW83,SW_Push,Kailh_socket_MX,252.4125,-204.7875,0,bottom
SW84,SW_Push,Kailh_socket_MX,271.4625,-204.7875,0,bottom
SW85,SW_Push,Kailh_socket_MX,290.5125,-204.7875,0,bottom
SW86,SW_Push,Kailh_socket_MX,309.5625,-204.7875,0,bottom
SW87,SW_Push,Kailh_socket_MX,345.28125,-204.7875,0,bottom
SW88,SW_Push,Kailh_socket_MX,404.8125,-204.7875,0,bottom
SW89,SW_Push,Kailh_socket_MX,447.675,-204.7875,0,bottom
SW90,SW_Push,Kailh_socket_MX,466.725,-204.7875,0,bottom
SW91,SW_Push,Kailh_socket_MX,485.775,-204.7875,0,bottom
SW92,SW_Push,Kailh_socket_MX,504.825,-214.3125,0,bottom
SW93,SW_Push,Kailh_socket_MX,95.25,-223.8375,0,bottom
SW94,SW_Push,Kailh_socket_MX,116.68125,-223.8375,0,bottom
SW95,SW_Push,Kailh_socket_MX,140.49375,-223.8375,0,bottom
SW96,SW_Push,Kailh_socket_MX,164.30625,-223.8375,0,bottom
SW97,SW_Push,Kailh_socket_MX,233.3625,-223.8375,0,bottom
SW98,SW_Push,Kailh_socket_MX,300.0375,-223.8375,0,bottom
SW99,SW_Push,Kailh_socket_MX,321.46875,-223.8375,0,bottom
SW100,SW_Push,Kailh_socket_MX,342.9,-223.8375,0,bottom
SW101,SW_Push,Kailh_socket_MX,361.95,-223.8375,0,bottom
SW102,SW_Push,Kailh_socket_MX,385.7625,-223.8375,0,bottom
SW103,SW_Push,Kailh_socket_MX,404.8125,-223.8375,0,bottom
SW104,SW_Push,Kailh_socket_MX,423.8625,-223.8375,0,bottom
SW105,SW_Push,Kailh_socket_MX,457.2,-223.8375,0,bottom
SW106,SW_Push,Kailh_socket_MX,485.775,-223.8375,0,bottom
